UnitID,US FR,YR,SUM,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY, Unknown_state , Foreign 
107512,479,2021,485,4,0,0,293,1,2,0,0,0,0,0,0,0,1,0,0,2,0,13,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,7,139,0,0,1,0,0,0,0,0,6
107558,163,2021,201,1,0,0,99,1,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,5,0,1,1,0,0,1,2,0,0,0,14,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,38
107600,102,2020,102,0,0,1,43,2,0,2,0,0,0,1,0,0,5,0,0,1,0,3,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0
107877,215,2020,220,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,17,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,7,0,0,0,0,0,0,0,0,5
109651,129,2020,233,0,0,1,0,104,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,1,4,0,0,0,0,104
109785,584,2020,623,0,0,10,0,483,10,0,0,0,1,1,9,1,1,0,0,0,0,0,0,2,0,3,3,0,1,0,0,1,1,0,0,0,0,0,1,0,13,6,0,0,0,0,9,1,0,1,26,0,0,0,39,0
110060,25,2020,42,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
110097,602,2021,649,1,3,8,1,430,15,1,0,1,2,4,7,1,8,1,1,1,2,0,0,1,2,2,1,0,3,0,0,7,0,0,0,2,5,0,1,0,21,1,0,1,1,2,18,1,0,2,40,0,4,0,0,47
110361,1342,2021,1372,0,0,5,0,1264,5,0,0,0,1,4,5,0,3,0,1,0,2,0,0,1,1,0,0,0,1,0,0,9,0,0,2,2,1,0,1,1,10,5,0,1,0,1,6,0,0,2,6,0,2,0,0,30
110370,120,2020,190,0,0,1,0,76,4,1,0,0,3,2,4,0,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,5,0,0,2,0,3,1,1,0,0,3,1,0,0,0,3,0,0,0,2,68
110404,74,2021,270,0,0,0,0,19,4,0,0,0,5,6,2,0,2,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,3,1,5,1,0,1,0,1,0,0,0,0,0,9,0,0,4,2,0,0,0,170,26
110413,477,2021,492,0,2,3,0,395,10,2,0,0,0,1,12,1,3,1,0,0,0,0,0,2,0,0,1,0,1,0,0,6,0,1,0,1,0,0,0,0,4,0,0,0,0,1,7,2,0,2,18,0,1,0,0,15
110918,1,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111045,2,2020,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
111081,112,2020,151,0,0,0,1,52,1,4,0,1,1,0,0,1,5,0,1,0,0,0,0,2,5,1,0,0,0,0,0,2,0,2,2,8,2,0,0,0,1,2,0,0,0,0,10,1,0,3,2,0,1,1,0,39
111638,4,2020,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111948,1578,2021,1653,2,1,25,0,1056,61,11,0,0,8,8,47,4,30,1,0,1,2,0,2,5,15,2,6,0,3,5,0,21,4,17,0,38,3,0,2,3,50,11,4,0,0,4,23,4,3,6,85,0,4,1,0,75
111966,16,2021,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112075,332,2021,340,0,2,12,0,235,5,1,0,0,1,1,9,0,4,0,0,0,0,0,0,1,1,0,3,0,7,0,1,10,0,1,0,1,2,0,0,0,3,2,0,0,0,0,7,2,0,0,17,0,4,0,0,8
112084,74,2020,83,0,0,0,5,56,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,9
112260,286,2021,357,0,0,1,0,137,10,6,0,2,3,2,0,2,7,0,1,0,1,0,1,9,6,1,5,0,1,1,1,2,1,5,0,23,2,0,1,1,3,5,0,0,1,1,16,3,0,5,20,0,0,0,0,71
112570,42,2020,105,0,0,0,0,1,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0
113698,241,2021,245,1,1,4,0,208,2,0,0,1,1,1,0,2,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2,3,0,0,0,0,1,0,0,0,5,0,0,0,0,4
114813,192,2020,192,0,0,2,0,180,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
